cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
59,44.1113,59,7792.94,-0.179908,20.068,9.82559,119.006,0.125332,163.335,8.97093e-09,-2.0479,-0.916088,-1.17809,-1.02173,-1.74141,50.2899,5426.33,-3.36924,3721.05,7085.27,-2.36456,-1.23275,-1.81141,-1.3384,-2.05807,0.794279,5372.02,-5.58587,3666.75,0.616853,1.00182,-0.00281413,8708.76 
60,43.9513,60,8445.53,-0.0876327,21.0628,10.1034,118.856,-0.401056,574.27,500,-5.33652,-0.613874,-3.18298,-0.645672,-0.145286,-10.118,5951.21,3.36348,3867.21,14425,-5.27281,-0.550163,-3.05556,-0.581961,-0.0815758,0.67978,5962.14,3.80945,3878.14,0.628172,0.998883,0.00180621,9491.25 
61,44.0963,61,8265.27,-0.0529687,19.5483,10.2787,118.823,0.101862,57.5342,0.00442184,-4.57649,-2.74515,1.15077,0.488918,-0.451835,5.19719,5851.33,11.5929,3662.5,6731.74,-4.60921,-2.77788,1.08532,0.456193,-0.48456,1.17145,5845.72,11.3638,3656.89,0.637241,0.99661,0.00569177,9173.48 
62,44.1063,62,7685.49,-0.201939,19.5185,9.8174,118.83,0.141398,210.57,474.206,-2.55647,-5.98862,-1.96092,-0.210744,-0.516603,38.9736,5390.45,5.39541,3513.05,7207.16,-2.80187,-6.23403,-2.45173,-0.45615,-0.76201,0.807038,5348.36,3.67757,3470.96,0.628706,0.998798,0.00194795,8506.93 
63,44.1763,63,5119.39,-0.226387,12.4591,10.9858,118.74,-1.96355,597.933,177.773,-7.66849,-2.18662,-7.06441,-0.919928,-0.0911895,19.0622,4149.91,-5.12454,2195.07,42675.7,-7.78852,-2.30665,-7.30447,-1.03996,-0.211219,0.608356,4129.33,-5.96474,2174.48,0.676041,1.00253,-0.00507868,6108.1 
64,44.1913,64,4486.46,-0.240873,11.8119,10.5629,118.42,-0.136486,300.074,299.227,-0.639801,-3.80399,-4.98169,-2.68653,-2.75084,55.616,3591.35,-0.92256,2163.62,5394.87,-0.99,-4.15419,-5.68209,-3.03673,-3.10104,0.665051,3531.29,-3.37395,2103.56,0.648476,1.00167,-0.00296336,5445.53 
65,44.1313,65,8146.83,-0.0251543,19.8909,9.95237,118.851,-0.00945517,27.1437,500,-7.14924,-2.4892,-4.92752,-0.349734,-0.241386,52.5208,5581.48,6.23972,3710.58,6452.67,-7.47995,-2.81991,-5.58894,-0.680443,-0.572095,0.67395,5524.76,3.92475,3653.86,0.624283,0.998758,0.00197477,8849.77 
66,44.1863,66,4321.24,0.00092242,10.6061,10.526,118.791,-0.00109146,9.21815,5.47718e-12,-2.00323,-2.02055,-4.90052,-0.493071,-0.644494,31.1,3501.15,7.4109,1919.5,3634.59,-2.19905,-2.21638,-5.29218,-0.688899,-0.840322,0.529033,3467.57,6.0401,1885.91,0.66893,0.996961,0.00586518,5183.75 
67,44.1013,67,7265.35,-0.0888447,18.4162,10.0468,118.75,0.0313863,70.8565,481.972,-6.20344,-2.86283,-6.16532,-1.50809,-1.11578,-0.851841,5092.18,0.436716,3388.02,6095.5,-6.19808,-2.85746,-6.15459,-1.50273,-1.11041,0.654688,5093.1,0.474263,3388.94,0.622854,0.999837,0.000257726,8177.03 
68,44.1463,68,8198.85,-0.0343336,19.3727,10.3199,118.879,0.0663883,-34.3795,500,-3.99571,-0.808038,-3.66998,0.301008,0.272693,-5.49343,5864.24,-2.76049,3553.11,6582.51,-3.96112,-0.773447,-3.6008,0.335599,0.307283,0.531907,5870.17,-2.51835,3559.04,0.644443,1.00075,-0.00130516,9108.9 
