cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
61,0.075,47.2977,2,61,10397.1,-0.213416,22.8321,10.9514,117.301,0.0168152,-0.836213,498.078,-2.63188,-6.8274,-8.34016,-1.69751,-1.02625,-102.706,1159.77,18.6376,10406.8,8140.17,-1.98516,-6.18069,-7.04673,-1.0508,-0.379536,0.576593,1365.59,24.7814,10612.6,0.126317,0.96922,0.00428306,10810.8 
62,0.008,47.2307,1.35,62,9698.86,-0.191778,22.4859,10.3365,117.455,0.0213682,304.317,444.879,-4.96898,-3.3892,-6.90807,-4.79421,-3.33074,-132.446,789.818,9.71955,10062.2,7777.88,-4.135,-2.55523,-5.24012,-3.96023,-2.49677,0.715015,1055.23,17.6423,10327.6,0.102981,0.971574,0.00313693,10246.8 
63,-1,46.2227,10,63,9925.74,-0.0101049,22.5637,10.3872,117.326,-0.0191675,6.09965,500,-4.24537,-4.36411,-12.8785,-4.38256,-2.79537,-117.743,-95.3418,24.4133,11178.8,7633.46,-3.50398,-3.62271,-11.3957,-3.64117,-2.05398,0.529444,140.607,31.4565,11414.7,0.0136515,0.718644,0.00505081,10299.7 
64,0.13,47.3527,2.6,64,11138.7,-0.0175636,22.7056,11.3875,117.367,0.000240159,18.8671,499.989,-1.84132,-5.70352,-10.8302,-5.81919,-7.21779,-149.046,1556.19,15.7909,10712,8417.1,-0.902824,-4.76502,-8.95322,-4.88069,-6.27929,0.652721,1854.87,24.7066,11010.7,0.159157,0.977221,0.00411646,11654.4 
65,0.19,47.4127,3.4,65,10530.6,-0.0149957,21.2982,11.5099,117.399,-0.00974972,7.96978,465.831,-5.34449,-7.13098,-11.9972,-4.7936,-2.85213,-150.517,1319.53,21.6527,10454.9,7982.66,-4.39673,-6.18321,-10.1016,-3.84583,-1.90437,0.617823,1621.16,30.6565,10756.5,0.144819,0.967967,0.00522267,11194.4 
66,0.004,47.2267,1.32,66,10161.1,-0.189841,23.0761,10.4981,117.457,0.153364,100.964,473.678,-5.7323,-5.03345,-6.95381,-4.38923,-4.42393,-135.761,656.944,9.3877,10702.3,8390.31,-4.87745,-4.1786,-5.24411,-3.53438,-3.56908,0.75499,928.999,17.5088,10974.3,0.0868536,0.968071,0.00293034,10696.2 
67,0.002,47.2247,1.32,67,9444.18,-0.0342509,21.2534,10.4998,117.169,-0.00453274,-99.3206,500,-5.1552,-3.92193,-5.58462,-3.22145,-2.65489,-150.787,903.317,2.00369,9709.95,7279.16,-4.20573,-2.97247,-3.68568,-2.27199,-1.70542,0.75166,1205.49,11.0236,10012.1,0.119163,0.984249,0.00202411,10116.3 
68,-1,46.2227,10,68,10020.6,-0.0256552,22.3434,10.5097,117.208,-0.000394669,-31.7764,500,-5.14507,-6.17774,-12.413,-3.34197,-1.34734,-144.904,-32.7659,19.3567,11123.4,7644.7,-4.23265,-5.26532,-10.5882,-2.42955,-0.434916,0.538654,257.612,28.0247,11413.7,0.0247327,0.840071,0.00450264,10415.8 
69,0.115,47.3377,2.4,69,10385,-0.0861036,22.0699,11.2372,117.365,0.0175926,16.4284,500,-7.21565,-3.92376,-8.1627,-4.26975,-3.56056,-107.623,1423.57,6.15101,10232.9,8082.73,-6.53797,-3.24609,-6.80735,-3.59207,-2.88289,0.70488,1639.24,12.5889,10448.6,0.14986,0.986739,0.00221454,10938.5 
70,0.03,47.2527,1.6,70,9287.28,-0.183168,20.8808,10.656,117.432,-0.0675541,63.3723,498.641,-7.4144,-5.17472,-6.32365,-3.13232,-0.522767,-98.136,923.755,-14.4295,9457,7382.65,-6.79646,-4.55679,-5.08778,-2.51438,0.0951692,0.730238,1120.41,-8.55908,9653.66,0.115362,1.01355,-0.00163591,9712.17 
